Wavelength	I1	I1 dark	R1	R1dark	XCorrect	I1c	R1c	I1c/R1c	Abs	Percent T
nm	uA	uA	uA	uA		uA	uA	uA/uA	OD	T*100
	Abs Detector Raw	Dark Offset for Abs Detector	Ref Detector Raw	Dark Offset for Ref Detector	Linear interp	Dark subtracted Abs Detector	Corrected Ref Detector	Corrected Intensity 	-Log(T)	% Transmittance
450	3.20245035666979	0.002851952636767	5.26108522311837	8.04009434348372E-8	1.0119651556015	3.19959840403302	5.32403484508278	0.600972476164038	0.00712049117107402	98.3738138432315
448	2.90497293110063		4.79695046260316		1.00756251811981	2.90212097846387	4.83322740638746	0.600451982587971	0.00729564354969024	98.3341473631509
446	2.63487237228407		4.37360985068798		1.00348556041718	2.6320204196473	4.38885425138252	0.599705588040022	0.00755504788922469	98.2754298590904
444	2.46573747061615		4.11010272283465		1.00001692771912	2.46288551797938	4.11017221709678	0.599217110109085	0.00777134878988994	98.226495847256
442	2.42234614591974		4.04648008799773		0.997353196144104	2.41949419328297	4.03576976870987	0.599512442964858	0.00798031383888483	98.1792445741126
440	2.42411632169392		4.05216069507139		0.99558562040329	2.42126436905715	4.03427283953045	0.600173678223251	0.00817203058013048	98.1359134896547
438	2.45329004065287		4.09856116851879		0.994712889194489	2.4504380880161	4.07689154150181	0.601055501003941	0.0083850099295452	98.0877991345819
436	2.49271681132866		4.1583739466001		0.994661867618561	2.48986485869189	4.13617591600987	0.601972669744143	0.00864890770727915	98.0282144740192
434	2.55371853309012		4.25051934011212		0.995339572429657	2.55086658045335	4.23071002256494	0.602940538786168	0.00888741028998923	97.9743948547103
432	2.64165571698353		4.38553976437729		0.996668756008148	2.63880376434676	4.37093038125307	0.60371672256886	0.00918363771644184	97.9075903976565
430	2.74994240112115		4.55267672822767		0.99854189157486	2.74709044848438	4.54603835164959	0.604282286243265	0.00949911400708344	97.8364950719538
428	2.84888403321277		4.70574917553269		1.00089848041534	2.84603208057601	4.70997711853325	0.604256031176283	0.00979533282371517	97.7697865810047
426	2.9101278383066		4.80112292840681		1.00344467163086	2.90727588566983	4.81766113967666	0.603462095274089	0.0101335883296376	97.6936670482804
424	2.92186860486125		4.82345059921603		1.00566327571869	2.91901665222448	4.85076704901859	0.601763931915688	0.0105011741228826	97.6110143495452
422	3.05709331786258		5.06374855886782		1.00706160068512	3.05424136522582	5.09950664819169	0.598928793692006	0.0108610617210245	97.5301603581043
420	2.9592482205973		4.9244482306484		1.00703954696655	2.95639626796054	4.95911403428547	0.596154120982318	0.0112101020799581	97.4518073336459
418	2.81243592626206		4.70879688385385		1.00569581985474	2.80958397362529	4.73561726177793	0.593287805647213	0.0115728025439387	97.3704545607922
416	2.6556282169277		4.47914950521418		1.00317752361298	2.65277626429093	4.49338202787663	0.59037407632676	0.0119414896238594	97.2878286091803
414	2.53039227179009		4.2986269994251		1	2.52754031915333	4.29862691902415	0.587987831176359	0.0123421352962916	97.1981199536927
412	2.43857689780801		4.17002318646241		0.996665716171265	2.43572494517124	4.15611906545347	0.586057547151981	0.0127325217800931	97.1107880056681
410	2.35870125034072		4.0575353776671		0.993634045124054	2.35584929770395	4.0317052106562	0.584330742108131	0.0131472613115532	97.018094086176
408	2.29292256896293		3.96414536176422		0.991304457187653	2.29007061632617	3.92967488635482	0.582763379300938	0.0135803872086702	96.9213852773797
406	2.25012327551416		3.9048053082904		0.989896655082703	2.24727132287739	3.86535363383722	0.581388285719793	0.0140004681402608	96.8276812523365
404	2.23329966392774		3.88682320875288		0.989499270915985	2.23044771129097	3.84600865168363	0.579938297932474	0.0144763668659772	96.7216358522743
402	2.25440029860905		3.93041410538859		0.990296423435211	2.25154834597228	3.89227495156486	0.578465903357383	0.0149885874744355	96.6076265509039
400	2.30678063856902		4.02392627623889		0.992328882217407	2.30392868593225	3.99305818404121	0.576983499799779	0.0154702821451917	96.5005342825318
398	2.36402950552776		4.12153838847906		0.995916664600372	2.361177552891	4.10470868480382	0.575236328373896	0.015996310066218	96.3837212722684
396	2.39815903338618		4.17582280232465		1.00104904174805	2.39530708074941	4.18020333429145	0.57301209754559	0.0165193323672462	96.2677159003527
394	2.41189052421673		4.19197178500752		1.00751101970673	2.40903857157996	4.22345768668991	0.570394863708938	0.0170842454034034	96.1425760799843
392	2.42131357268168		4.19862554962937		1.01508748531342	2.41846162004491	4.26197216933194	0.567451293428789	0.017690123720504	96.0085423974703
390	2.43719378908958		4.21566933862377		1.02326428890228	2.43434183645281	4.31374380576259	0.564322302404898	0.0182394071377211	95.8871902572483
